fecha,tmed
2019-07-06,22.823902411258214
2019-07-07,23.059357890569604
2019-07-08,22.082113023390946
2019-07-09,22.60830035364273
2019-07-10,22.811777933977538
2019-07-11,23.440825536358666
2019-07-12,23.868094765903077
2019-07-13,23.717288489065446
2019-07-14,23.847446764760583
2019-07-15,23.9021055238998
2019-07-16,23.929736770639337
2019-07-17,24.213355994428323
2019-07-18,24.359109881508168
2019-07-19,24.07229623186703
2019-07-20,23.81662004054021
2019-07-21,24.30532731493881
2019-07-22,24.21045958103393
2019-07-23,23.545551552880323
2019-07-24,23.83977962877596
2019-07-25,23.700852705856995
2019-07-26,23.89502775353118
2019-07-27,23.61558319833082
2019-07-28,23.04218851695146
2019-07-29,23.392380557184637
2019-07-30,23.56916425718877
2019-07-31,25.082770307559212
