ds,trend,cap,floor,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,estacion_Invierno,estacion_Invierno_lower,estacion_Invierno_upper,estacion_Otoño,estacion_Otoño_lower,estacion_Otoño_upper,estacion_Primavera,estacion_Primavera_lower,estacion_Primavera_upper,estacion_Verano,estacion_Verano_lower,estacion_Verano_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,tmed_max,tmed_max_lower,tmed_max_upper,tmed_mean,tmed_mean_lower,tmed_mean_upper,tmed_min,tmed_min_lower,tmed_min_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-07-14,18.14629235916247,34.60000038146973,4.150000095367432,23.111394266923845,26.84994210110876,18.14629235916247,18.14629235916247,6.790341073322867,6.790341073322867,6.790341073322867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.791989159744349,6.791989159744349,6.791989159744349,-0.04574578939681195,-0.04574578939681195,-0.04574578939681195,5.53975448952763,5.53975448952763,5.53975448952763,-0.06216426567686273,-0.06216426567686273,-0.06216426567686273,-0.0040682752832731026,-0.0040682752832731026,-0.0040682752832731026,0.0024201888617901395,0.0024201888617901395,0.0024201888617901395,0.0,0.0,0.0,24.936633432485337
2024-07-15,18.146995152611936,34.60000038146973,4.150000095367432,23.243147153879075,26.76705053704727,18.146995152611936,18.146995152611936,6.797709249746054,6.797709249746054,6.797709249746054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.8227237103031095,6.8227237103031095,6.8227237103031095,-0.051078593861153966,-0.051078593861153966,-0.051078593861153966,5.57372050740222,5.57372050740222,5.57372050740222,-0.06006292852835052,-0.06006292852835052,-0.06006292852835052,-0.026583078595989292,-0.026583078595989292,-0.026583078595989292,0.001568618038933738,0.001568618038933738,0.001568618038933738,0.0,0.0,0.0,24.944704402357992
2024-07-16,18.147697951328954,34.60000038146973,4.150000095367432,23.528946879253308,27.242829816803283,18.147697951328954,18.147697951328954,7.068131906693716,7.068131906693716,7.068131906693716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,7.0964724663069765,7.0964724663069765,7.0964724663069765,-0.05641141527806797,-0.05641141527806797,-0.05641141527806797,5.84544735470314,5.84544735470314,5.84544735470314,-0.052708198408489386,-0.052708198408489386,-0.052708198408489386,-0.029034424729362605,-0.029034424729362605,-0.029034424729362605,0.0006938651161031507,0.0006938651161031507,0.0006938651161031507,0.0,0.0,0.0,25.21582985802267
2024-07-17,18.148400755310547,34.60000038146973,4.150000095367432,23.44949187375941,27.165424311803005,18.148400755310547,18.148400755310547,7.179673587656947,7.179673587656947,7.179673587656947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,7.198363690659828,7.198363690659828,7.198363690659828,-0.051078593861153966,-0.051078593861153966,-0.051078593861153966,5.9388537418962954,5.9388537418962954,5.9388537418962954,-0.04955618266570735,-0.04955618266570735,-0.04955618266570735,-0.018489561497365067,-0.018489561497365067,-0.018489561497365067,-0.00020054150551557478,-0.00020054150551557478,-0.00020054150551557478,0.0,0.0,0.0,25.328074342967493
2024-07-18,18.149103564553744,34.60000038146973,4.150000095367432,23.30835943064201,26.855146764841134,18.149103564553744,18.149103564553744,6.932594799228922,6.932594799228922,6.932594799228922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.907638431065638,6.907638431065638,6.907638431065638,-0.051078593861153966,-0.051078593861153966,-0.051078593861153966,5.658635228164748,5.658635228164748,5.658635228164748,-0.06006292852835052,-0.06006292852835052,-0.06006292852835052,0.02606604299299998,0.02606604299299998,0.02606604299299998,-0.0011096748297149419,-0.0011096748297149419,-0.0011096748297149419,0.0,0.0,0.0,25.081698363782667
2024-07-19,18.149806379055562,34.60000038146973,4.150000095367432,22.924822051234734,26.58557842774805,18.149806379055562,18.149806379055562,6.690590336464758,6.690590336464758,6.690590336464758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.661933831671705,6.661933831671705,6.661933831671705,-0.04396817660698331,-0.04396817660698331,-0.04396817660698331,5.3869080569398715,5.3869080569398715,5.3869080569398715,-0.041150773951576396,-0.041150773951576396,-0.041150773951576396,0.03068388969536916,0.03068388969536916,0.03068388969536916,-0.0020273849023168204,-0.0020273849023168204,-0.0020273849023168204,0.0,0.0,0.0,24.84039671552032
2024-07-20,18.15050919881304,34.60000038146973,4.150000095367432,23.451457318664986,27.182593058721842,18.15050919881304,18.15050919881304,7.195326298621209,7.195326298621209,7.195326298621209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,7.176847416803294,7.176847416803294,7.176847416803294,-0.04396817660698331,-0.04396817660698331,-0.04396817660698331,5.913379066528374,5.913379066528374,5.913379066528374,-0.052708198408489386,-0.052708198408489386,-0.052708198408489386,0.02142540741768736,0.02142540741768736,0.02142540741768736,-0.002946525599773162,-0.002946525599773162,-0.002946525599773162,0.0,0.0,0.0,25.34583549743425
2024-07-21,18.151212023823184,34.60000038146973,4.150000095367432,23.585904863543174,26.99936624153113,18.151212023823184,18.151212023823184,7.0972711248615195,7.0972711248615195,7.0972711248615195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,7.10519862415162,7.10519862415162,7.10519862415162,-0.04663457883915432,-0.04663457883915432,-0.04663457883915432,5.84544735470314,5.84544735470314,5.84544735470314,-0.05375887700275914,-0.05375887700275914,-0.05375887700275914,-0.004068275283244698,-0.004068275283244698,-0.004068275283244698,-0.0038592240068566954,-0.0038592240068566954,-0.0038592240068566954,0.0,0.0,0.0,25.248483148684706
2024-07-22,18.15191485408303,34.60000038146973,4.150000095367432,22.787778804194268,26.447075279758774,18.15191485408303,18.15191485408303,6.412088974997219,6.412088974997219,6.412088974997219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.443429235956297,6.443429235956297,6.443429235956297,-0.04396817660698331,-0.04396817660698331,-0.04396817660698331,5.183112921464185,5.183112921464185,5.183112921464185,-0.055860234191298715,-0.055860234191298715,-0.055860234191298715,-0.026583078596009495,-0.026583078596009495,-0.026583078596009495,-0.00475718236306908,-0.00475718236306908,-0.00475718236306908,0.0,0.0,0.0,24.56400382908025
2024-07-23,18.152617689589597,34.60000038146973,4.150000095367432,22.975446834346613,26.659332729396205,18.152617689589597,18.152617689589597,6.693108099483493,6.693108099483493,6.693108099483493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601447252903938,1.3601447252903938,1.3601447252903938,6.727774525658105,6.727774525658105,6.727774525658105,-0.04307937021206902,-0.04307937021206902,-0.04307937021206902,5.471822777702401,5.471822777702401,5.471822777702401,-0.0611136071226203,-0.0611136071226203,-0.0611136071226203,-0.029034424729377492,-0.029034424729377492,-0.029034424729377492,-0.0056320014452345725,-0.0056320014452345725,-0.0056320014452345725,0.0,0.0,0.0,24.84572578907309
